"id_sector","tot_per_cen","opp_cen","opa_cen","temp_cen","desop","const_cen","tot_viv_cen","id_prov","dpa_despro","dpa_descan","dpa_despar","tot_viv_prec","tot_per_prec","ocup_prec","temp_prec","desop_prec","const_prec","colec_prec","id_can","id_par"
"030250999006",180,52,0,26,4,2,84,"03","CAÑAR","BIBLIAN","BIBLIAN",88,220,60,2,22,4,0,"0302","030250"
"030250999007",151,48,1,16,29,1,95,"03","CAÑAR","BIBLIAN","BIBLIAN",96,286,72,10,12,2,0,"0302","030250"
"030250999008",122,39,0,26,9,1,75,"03","CAÑAR","BIBLIAN","BIBLIAN",69,155,42,12,14,1,0,"0302","030250"
"030250999009",146,50,0,7,31,3,91,"03","CAÑAR","BIBLIAN","BIBLIAN",90,191,62,14,11,3,0,"0302","030250"
"030250999010",101,28,6,16,6,3,59,"03","CAÑAR","BIBLIAN","BIBLIAN",56,108,32,12,11,1,0,"0302","030250"
"030250999011",205,51,9,23,16,2,101,"03","CAÑAR","BIBLIAN","BIBLIAN",94,196,55,24,13,2,0,"0302","030250"
"030250999012",158,48,0,23,5,5,81,"03","CAÑAR","BIBLIAN","BIBLIAN",81,165,44,29,5,3,0,"0302","030250"
"030250999013",115,34,0,3,16,4,57,"03","CAÑAR","BIBLIAN","BIBLIAN",56,130,36,2,14,4,0,"0302","030250"
"030250999014",134,37,2,2,31,2,74,"03","CAÑAR","BIBLIAN","BIBLIAN",77,128,39,8,27,2,1,"0302","030250"
"030250999015",87,29,1,1,22,0,53,"03","CAÑAR","BIBLIAN","BIBLIAN",52,87,26,6,19,1,0,"0302","030250"
"030250999016",246,70,0,6,29,1,106,"03","CAÑAR","BIBLIAN","BIBLIAN",107,277,79,13,12,3,0,"0302","030250"
"030250999017",165,52,1,8,23,1,85,"03","CAÑAR","BIBLIAN","BIBLIAN",87,206,59,7,20,1,0,"0302","030250"
"030250999018",102,28,0,4,19,0,51,"03","CAÑAR","BIBLIAN","BIBLIAN",56,127,38,16,1,1,0,"0302","030250"
"030250999019",156,52,0,13,16,2,83,"03","CAÑAR","BIBLIAN","BIBLIAN",81,170,51,27,1,2,0,"0302","030250"
"030250999020",140,32,5,21,14,0,72,"03","CAÑAR","BIBLIAN","BIBLIAN",68,156,37,29,1,1,0,"0302","030250"
